Actual RouteID,CustID,Longitude,Latitude
RT008008RouteTypeA,20006780,-80.847337,35.385391
RT004004RouteTypeB,20017440,-81.123808,35.242456
RT005005RouteTypeC,20019120,-81.187554,35.241163
RT009009RouteTypeB,2002177,-80.891255,35.135623
RT003003RouteTypeC,20023121,-81.198604,35.261961
RT006006RouteTypeB,20030263,-80.871525,35.086984
RT001001RouteTypeB,20031578,-81.553643,35.265598
RT006006RouteTypeC,20033966,-80.830927,35.14889
RT004004RouteTypeB,20042934,-81.193385,35.233218
RT005005RouteTypeC,20048579,-81.168537,35.253807
RT006006RouteTypeA,20052338,-80.843904,35.228079
RT003003RouteTypeC,20055210,-81.196587,35.230268
RT003003RouteTypeC,20059785,-81.234417,35.278607
RT005005RouteTypeC,20062762,-81.193864,35.253648
RT011011RouteTypeB,20072729,-80.844488,35.203628
RT005005RouteTypeC,20073105,-81.166884,35.268275
RT010010RouteTypeB,20074748,-80.810456,35.220237
RT008008RouteTypeC,20079160,-80.872769,35.483382
RT005005RouteTypeC,20094119,-81.149386,35.279465
RT005005RouteTypeA,20099838,-80.770123,35.21377
RT011011RouteTypeC,2010633,-80.879121,35.262889
RT007007RouteTypeC,2010874,-80.914042,35.221007
RT005005RouteTypeA,20109442,-80.836036,35.206428
RT003003RouteTypeC,20112362,-81.261658,35.288992
RT012012RouteTypeC,20117752,-80.794224,35.268167
RT007007RouteTypeA,20121998,-80.757831,35.208193
RT005005RouteTypeA,201309,-80.869327,35.197441
RT008008RouteTypeC,20131112,-80.895735,35.299801
RT015015RouteTypeB,20140443,-80.835117,35.274551
RT002002RouteTypeC,20141114,-81.511827,35.294421
RT012012RouteTypeB,20142722,-80.939181,35.245428
RT003003RouteTypeA,20143737,-80.936949,35.303481
RT003003RouteTypeC,20144428,-81.232735,35.278322
RT002002RouteTypeC,20147391,-81.564409,35.27593
RT004004RouteTypeC,20149931,-80.746287,34.924394
RT003003RouteTypeA,20151470,-80.934187,35.242128
RT007007RouteTypeC,20153666,-80.913931,35.208531
RT003003RouteTypeA,20155347,-80.93858,35.241238
RT012012RouteTypeC,20158197,-80.780646,35.25886
RT002002RouteTypeC,20169293,-81.523103,35.307564
RT012012RouteTypeC,20171583,-80.716713,35.30965
RT009009RouteTypeC,20175623,-80.672845,35.208745
RT012012RouteTypeB,20177325,-80.918785,35.239918
RT003003RouteTypeA,20184810,-81.004482,35.245868
RT007007RouteTypeA,20191224,-80.683375,35.315698
RT009009RouteTypeC,20192582,-80.747998,35.154581
RT002002RouteTypeA,20197277,-80.72499,35.1171
RT004004RouteTypeC,20205214,-80.697509,35.083658
RT009009RouteTypeC,20208822,-80.720538,35.204545
RT002002RouteTypeC,20210967,-81.535307,35.289148
RT007007RouteTypeA,20212352,-80.801358,35.300257
RT015015RouteTypeB,2021670,-80.793178,35.257616
RT009009RouteTypeB,20218430,-80.876364,35.152301
RT011011RouteTypeC,20220481,-80.829933,35.247333
RT012012RouteTypeC,20221561,-80.838679,35.310503
RT007007RouteTypeA,2022644,-80.767777,35.265828
RT012012RouteTypeC,20242584,-80.795645,35.257908
RT007007RouteTypeC,20245780,-80.904607,35.225182
RT008008RouteTypeC,20258958,-80.883804,35.265072
RT001001RouteTypeA,20259472,-80.824146,35.105475
RT002002RouteTypeB,20260752,-80.548244,34.970903
RT003003RouteTypeA,20262191,-80.890173,35.179622
RT006006RouteTypeA,20270509,-80.842815,35.228787
RT011011RouteTypeC,2027352,-80.817655,35.250154
RT011011RouteTypeB,2027524,-80.870103,35.204084
RT008008RouteTypeC,20279610,-80.954867,35.286975
RT005005RouteTypeA,20285718,-80.783675,35.212437
RT004004RouteTypeC,2028644,-80.558597,34.990087
RT007007RouteTypeB,20292674,-81.003999,35.095497
RT004004RouteTypeA,20296997,-80.876374,35.165712
